City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
256,sola,-13.8833,167.55,25.37,94,100,10.29,VU,1698027186
257,lensk,60.7253,114.9278,0.01,84,100,6.04,RU,1698027186
258,goba,7.0167,39.9833,10.8,88,100,0.55,ET,1698027187
259,changji,44.0167,87.3167,12.44,40,4,2.0,CN,1698027187
260,ceres,37.5949,-120.9577,19.17,80,100,5.14,US,1698027187
261,candeleda,40.1552,-5.2405,10.78,88,100,3.1,ES,1698027187
262,tostado,-29.232,-61.7692,25.55,74,95,0.89,AR,1698027188
263,akureyri,65.6835,-18.0878,0.96,100,75,0.0,IS,1698027188
264,bubaque,11.2833,-15.8333,28.67,73,100,2.43,GW,1698027188
265,keflavik,64.0049,-22.5624,4.23,87,75,3.09,IS,1698027189
266,san patricio,28.017,-97.5169,26.38,76,39,4.96,US,1698027189
267,kirkland lake,48.1446,-80.0377,-0.84,93,6,1.03,CA,1698027189
268,sorochinsk,52.4338,53.1583,-0.21,78,100,2.81,RU,1698027190
269,pesca,5.55,-73.05,10.88,96,100,1.25,CO,1698027190
270,molodyozhnoye,45.0043,34.0501,19.59,35,99,4.36,UA,1698027190
271,spa,50.4837,5.8667,7.36,96,1,1.9,BE,1698027190
272,chegdomyn,51.1167,133.0167,3.62,45,2,1.51,RU,1698026955
273,callao,-12.0667,-77.15,20.16,77,0,5.14,PE,1698027133
274,sabya,17.1495,42.6254,24.79,76,20,0.21,SA,1698027191
275,bamboo flat,11.7,92.7167,27.05,89,40,1.03,IN,1698027191
276,yamada,39.4667,141.95,17.36,40,0,1.32,JP,1698026991
277,cold lake,54.4502,-110.2017,-3.03,93,100,3.6,CA,1698027192
278,kapuskasing,49.4169,-82.4331,-1.0,93,20,1.54,CA,1698027192
279,galiakot,23.5167,74.0,24.44,45,62,2.3,IN,1698027192
280,kimbe,-5.5502,150.1429,29.6,75,88,2.14,PG,1698027193
281,ola,59.5833,151.2833,1.75,82,100,6.1,RU,1698027193
282,mahibadhoo,3.7833,72.9667,26.6,78,100,3.48,MV,1698027193
283,rufino,-34.2683,-62.7126,18.61,90,100,4.16,AR,1698027194
284,waingapu,-9.6567,120.2641,30.97,55,9,4.9,ID,1698026993
285,usinsk,65.9939,57.5281,-1.84,97,100,8.39,RU,1698027194
286,ulsteinvik,62.3432,5.8487,6.82,75,41,1.34,NO,1698027194
287,guerrero negro,27.9769,-114.0611,19.49,81,0,9.62,MX,1698027195
288,singera,46.9131,28.9775,12.39,82,0,2.57,MD,1698027195
289,santa eularia des riu,38.9846,1.5341,24.19,73,40,6.69,ES,1698027195
290,petoskey,45.3733,-84.9553,1.4,87,0,0.0,US,1698026965
291,fort mcmurray,56.7268,-111.381,-3.27,54,100,1.03,CA,1698027196
292,codrington,-38.2667,141.9667,16.23,52,16,4.33,AU,1698027196
293,barabai,-2.5833,115.3833,32.9,53,78,0.94,ID,1698026971
294,midvagur,62.0511,-7.1939,8.46,87,75,5.14,FO,1698027197
295,vacha,55.8008,42.7706,1.94,84,100,3.74,RU,1698027197
296,antsiranana,-12.2787,49.2917,24.81,70,58,6.65,MG,1698027198
297,taro,-8.3862,115.28,24.92,47,44,1.76,ID,1698027198
298,penzance,50.1186,-5.5371,13.38,85,100,9.04,GB,1698027199
299,ketchikan,55.3422,-131.6461,6.26,56,0,5.66,US,1698027199
300,likisa,-8.6695,125.6875,26.43,37,11,2.3,TL,1698027200
301,tommot,58.9564,126.2925,0.9,87,100,4.52,RU,1698027200
302,ugoofaaru,5.6667,73.0,27.64,74,60,3.27,MV,1698027201
303,ishigaki,24.3448,124.1572,25.56,67,65,6.57,JP,1698027201
304,rio pomba,-21.2747,-43.1792,17.66,97,0,1.16,BR,1698027202
305,tolanaro,-25.0319,46.9987,22.25,85,58,1.02,MG,1698027202
306,pasuquin,18.3328,120.6177,31.97,62,75,1.54,PH,1698027203
307,mejit,10.2753,170.8646,26.27,84,100,6.4,MH,1698027204
308,artigas,-30.4,-56.4667,20.15,96,100,5.57,UY,1698027205
309,st. john's,47.5649,-52.7093,8.71,96,100,5.66,CA,1698027205
310,vernon,50.2581,-119.2691,9.35,78,0,0.89,CA,1698027205
311,kendari,-3.945,122.4989,31.94,57,53,1.97,ID,1698027206
312,bay harbor,30.1471,-85.6146,20.67,93,0,1.54,US,1698027206
313,zhob,31.3411,69.4481,15.1,42,0,2.64,PK,1698027206
314,ban dan lan hoi,17.0068,99.575,26.31,85,21,0.57,TH,1698027206
315,skovorodino,53.9833,123.9167,3.47,45,100,1.15,RU,1698026956
316,tayu,-6.5397,111.0518,30.12,61,96,2.46,ID,1698027194
317,acapulco de juarez,16.8634,-99.8901,27.9,78,40,0.0,MX,1698027208
318,fale old settlement,-9.3852,-171.2468,28.88,69,58,2.9,TK,1698027208
319,cabo san lucas,22.8909,-109.9124,26.97,85,40,5.14,MX,1698027032
320,llandudno,53.325,-3.8315,8.08,49,100,2.68,GB,1698027208
321,itaguai,-22.8522,-43.7753,19.78,91,72,1.84,BR,1698027003
322,smithers,54.7804,-127.1743,1.18,75,20,1.54,CA,1698027209
323,mount isa,-20.7333,139.5,33.87,12,0,2.57,AU,1698027209
324,faya-largeau,17.9257,19.1043,24.86,14,8,7.76,TD,1698027210
325,darwin,-12.4611,130.8418,31.93,60,20,3.58,AU,1698027210
326,sungailiat,-1.85,106.1333,29.3,69,66,1.98,ID,1698027210
327,northam,51.0333,-4.2167,10.89,94,99,4.41,GB,1698027210
328,horta,38.5333,-28.6333,17.23,80,87,1.34,PT,1698027210
329,dzhalagash,45.0833,64.6667,5.09,62,100,3.11,KZ,1698027211
330,lebu,-37.6167,-73.65,9.66,85,2,6.49,CL,1698027008
331,pinarbasi,38.7229,36.3931,13.88,49,100,1.34,TR,1698027211
332,nuuk,64.1835,-51.7216,-3.66,80,6,5.14,GL,1698027211
333,nalut,30.3333,10.85,25.62,23,0,4.02,LY,1698027212
334,cogealac,44.55,28.5667,15.02,55,6,2.72,RO,1698027212
335,gadwal,16.2333,77.8,22.68,51,56,2.29,IN,1698027212
336,tralee,52.2704,-9.7026,10.72,97,100,3.15,IE,1698027212
337,dwarka,22.2394,68.9678,27.3,74,3,4.46,IN,1698027213
338,zhalantun,48.0,122.7167,10.99,34,0,0.96,CN,1698027213
339,sao francisco,-15.9486,-44.8644,26.05,53,37,3.85,BR,1698027214
340,fruitland,38.3221,-75.6202,10.57,67,0,3.6,US,1698027214
341,beboto,8.2668,16.939,23.64,74,99,1.84,TD,1698027214
342,buka,40.8108,69.1986,16.52,47,100,2.04,UZ,1698027215
343,saynshand,44.8824,110.1163,9.76,28,28,2.93,MN,1698027215
344,moyynkum,44.2914,72.9469,9.86,60,100,5.54,KZ,1698027215
345,shitanjing,39.2342,106.3439,13.41,16,0,4.64,CN,1698027215
